"NUMER STACJI","DOSTĘPNE ROWERY",WSPÓŁRZĘDNE,"LICZBA STOJAKÓW","NUMERY DOSTĘPNYCH ROWERÓW"
11332,2,"54.380031181667, 18.603654238333",9,"98536,600026"
11333,1,"54.388626481667, 18.581088028333",5,98274
11334,4,"54.398850843333, 18.568334145",9,"98553,98494,98156,99138,98977"
11335,1,"54.409582668333, 18.562392553333",5,600328
11336,0,"54.416165115, 18.586107521667",5,
11337,0,"54.394395405, 18.614246956667",5,
11338,1,"54.37350007, 18.615350783333",9,98837
11339,4,"54.366545936667, 18.620001168333",5,"98347,98847,98811,600101"
11340,2,"54.391187843333, 18.600725208333",5,"98602,99016"
11341,0,"54.348145255, 18.66868878",5,
11350,0,"54.338745207942, 18.618983365595",9,
11351,0,"54.358285816667, 18.687096385",0,
11352,1,"54.337887493333, 18.626820635",5,98118
11353,0,"54.357658651667, 18.683112508333",9,
11354,1,"54.349453388333, 18.674786388333",5,98462
11356,3,"54.390694563333, 18.642813093333",0,"98147,99106,10008"
11357,9,"54.386370083333, 18.636405995",0,"98474,98435,98238,98155,98021,99231,98875,10012"
11358,31,"54.402584233333, 18.571968081667",18,"98734,98688,98552,98525,98512,98489,98466,98464,98326,98313,98301,98280,98262,98214,98181,98157,98011,99216,99177,99066,99046,98969,98960,98912,98908,98904,98829,98823,98803,600039,600037"
11359,0,"54.358958768333, 18.578470655",0,
11360,0,"54.423847166667, 18.574098976667",5,
11361,0,"54.425867566667, 18.577789431667",9,
11362,1,"54.413228491667, 18.535163441667",0,98469
11363,2,"54.378069803333, 18.603740411667",0,"98420,600090"
11364,2,"54.387063846667, 18.592085296667",0,"98018,98997"
11365,14,"54.382945738333, 18.598488825",0,"98717,98709,98646,98067,98034,99240,99217,99191,99054,99052,98985,98933,98848,600129"
11366,0,"54.355147208333, 18.645072895",9,
11367,0,"54.381721838333, 18.606668006667",0,
11368,4,"54.361383428333, 18.650577261667",0,"98522,98382,98085,600241"
11154,1,"54.355359703333, 18.613666078333",9,98597
11210,3,"54.348236965, 18.60651593",5,"98376,98193,98884"
11211,2,"54.349255338333, 18.61321882",5,"98052,99222"
11212,0,"54.424573285, 18.477774301667",9,
11348,0,"54.342138795, 18.625918346667",5,
11342,1,"54.377334631667, 18.608644411667",9,600348
11344,0,"54.42991237, 18.469648623333",5,
11347,3,"54.340450041667, 18.657281911667",5,"98271,98211,98146"
11345,0,"54.391123071667, 18.60061309",5,
11346,1,"54.362620706667, 18.558648506667",5,98080
11343,0,"54.393483526667, 18.599381898333",4,
11349,1,"54.3515141, 18.640694673333",0,98373
0,1,"52.281422018229, 21.012503572591",0,600019
0,0,"54.402968888889, 18.681926666667",0,98092
0,1,"54.385195555556, 18.629997777778",0,98909
0,1,"54.334751111111, 18.69288",0,98721
0,1,"54.385115555556, 18.632066666667",0,98361
0,1,"54.390977777778, 18.653491111111",0,98318
0,1,"54.372808888889, 18.730195555556",0,99073
0,1,"54.302555555556, 18.635366666667",0,99025
0,1,"54.386942222222, 18.633045555556",0,99140
0,1,"54.386653333333, 18.633375555556",0,98117
0,1,"54.386684444444, 18.633264444444",0,98676
0,1,"54.385342222222, 18.630387777778",0,98265
0,1,"54.386373333333, 18.633187777778",0,98307
0,1,"54.404102222222, 18.573428888889",0,98170
0,1,"54.424266666667, 18.591346666667",0,99014
0,0,"54.356844444444, 18.685171111111",0,98450
0,1,"54.406191111111, 18.676733333333",0,99123
0,1,"54.254084444444, 18.678186666667",0,600142
0,1,"54.347257777778, 18.668955555556",0,98894
0,1,"54.376635555556, 18.62924",0,98260
0,1,"54.400355555556, 18.670308888889",0,98278
0,1,"54.325395555556, 18.654055555556",0,98953
0,1,"54.346111111111, 18.718086666667",0,98574
0,1,"54.386724444444, 18.633863333333",0,98268
0,1,"54.381715555556, 18.628018888889",0,99107
0,1,"54.350271111111, 18.661926666667",0,98314
0,1,"54.427835555556, 18.591924444444",0,98794
